Image,Team
https://raw.githubusercontent.com/CJ-Mayes/Website-Tutorials/main/2023%20Blogs/2023-01-06%20Image%20Roles%20NBA%20PlayOffs/Scaled/Boston_Celtics.png,Boston Celtics
https://raw.githubusercontent.com/CJ-Mayes/Website-Tutorials/main/2023%20Blogs/2023-01-06%20Image%20Roles%20NBA%20PlayOffs/Scaled/Dallas_Mavericks.png,Dallas Mavericks
https://raw.githubusercontent.com/CJ-Mayes/Website-Tutorials/main/2023%20Blogs/2023-01-06%20Image%20Roles%20NBA%20PlayOffs/Scaled/Golden_State_Warriors.png,Golden State Warriors
https://raw.githubusercontent.com/CJ-Mayes/Website-Tutorials/main/2023%20Blogs/2023-01-06%20Image%20Roles%20NBA%20PlayOffs/Scaled/Miami_Heat.png,Miami Heat
